g_val	t_val	c_val	l_val	s_val
1.5962	1.6935	1.5457	1.5898	1.7334
1.7113	1.8622	1.5916	1.7098	1.8186
0.7442	0.5344	0.7121	1.2861	1.4689
1.7146	1.7205	1.5901	1.6718	1.7651
1.5246	1.4468	1.4639	1.3711	1.4562
1.3132	1.3226	1.2459	1.5637	1.8531
1.5400	1.1862	1.1954	1.0791	1.1483
1.4340	1.5347	1.2969	1.4051	1.5098
1.4416	1.2807	1.3400	1.3769	1.5513
1.2331	1.2264	1.1593	1.4939	1.5723
1.4110	1.1480	1.1798	1.4058	1.4917
1.3385	1.3889	1.2148	1.2602	1.4041
1.2517	1.2933	1.1917	1.6326	1.7698
1.3836	1.3030	1.2733	1.1479	1.1948
1.2348	1.2361	1.2643	1.4740	1.5906
1.2844	1.2635	1.2807	1.3197	1.4479
1.0692	0.9645	1.0009	1.0246	1.1472
1.3993	1.3405	1.3055	1.3593	1.5374
1.2592	1.2270	1.3501	1.5628	1.6116
1.9113	1.9403	1.6572	1.8765	2.0339
0.4916	0.3774	0.4863	1.2374	1.4521
0.6806	0.7640	0.7049	0.9052	0.9934
-0.2706	-0.4538	-0.1494	0.2493	0.2830
1.5962	1.6525	1.5688	1.6776	1.7519
0.5164	0.3971	0.6155	1.0428	1.1910
1.2206	0.9909	1.0200	1.0573	1.1585
1.3446	1.4211	1.3329	1.3238	1.4874
1.0445	1.0405	1.1094	1.2494	1.3554
1.7306	1.7846	1.5404	1.5718	1.7292
1.8842	1.5964	1.5418	1.5252	1.6691
0.6156	0.5428	0.7251	1.2373	1.3779
0.9458	0.7924	0.9273	1.0741	1.1216
1.5143	1.4922	1.3198	1.5793	1.6925
1.1300	1.2391	1.2072	1.5055	1.5815
1.1658	1.1490	1.2373	1.5514	1.5501
1.3415	1.4630	1.3611	1.2501	1.3858
1.7880	1.6547	1.6283	1.5734	1.7467
1.4006	1.2451	1.2758	1.3515	1.4731
1.6279	1.7458	1.6667	2.0019	2.0933
1.1761	1.2518	1.1380	1.3005	1.4131
1.5924	1.7403	1.5925	1.7556	1.8736
2.0568	1.9397	1.8351	1.7544	1.8758
0.9888	0.8016	0.9831	1.0443	1.1845
1.0753	1.1119	1.1341	1.5972	1.7296
1.4359	1.3996	1.3432	1.2650	1.3406
1.4621	1.3119	1.3632	1.3359	1.5247
1.3093	1.4300	1.4450	1.8583	1.9279
1.2884	1.2192	1.2047	1.1402	1.2895
1.5043	1.5367	1.4156	1.5922	1.6924
1.8252	1.6210	1.5970	1.3868	1.5452
0.3499	0.3894	0.5237	0.9634	1.1905
1.5460	1.4280	1.3468	1.4697	1.6855
1.1503	1.1002	1.1066	1.2416	1.3205
0.9129	0.9007	0.9229	1.1442	1.2612
1.5830	1.4752	1.4135	1.3118	1.5313
1.4027	1.3500	1.3916	1.2895	1.4575
