g	pw80_20	pw80_08	pw82_08	pw84_08	pw88_08
1.877	1.133	1.116	1.138	1.081	1.010
1.453	1.204	1.218	1.195	1.116	1.087
0.406	0.062	0.266	0.763	0.886	0.935
1.355	1.146	1.161	0.975	0.937	1.047
1.599	1.755	1.296	1.165	1.051	1.052
1.138	3.261	5.158	3.314	1.687	1.827
1.200	1.260	1.063	1.004	0.960	0.952
0.435	0.587	1.046	0.644	0.607	0.535
1.878	1.699	1.645	1.492	1.317	1.113
1.927	1.351	1.404	1.251	1.115	1.107
0.632	2.732	3.528	2.098	1.064	0.843
1.539	1.090	1.213	1.267	1.238	1.270
1.639	1.396	1.290	1.130	1.000	0.966
1.333	1.193	1.795	0.989	0.938	0.923
1.140	2.111	2.731	1.864	1.417	1.048
1.267	1.052	1.031	1.061	0.991	0.846
1.227	1.032	0.970	1.036	1.004	0.954
0.805	1.211	0.970	0.962	0.925	0.792
1.054	1.104	0.982	0.925	0.868	0.755
1.426	1.280	1.078	1.091	1.008	0.968
1.280	1.278	1.231	1.110	0.987	0.988
1.375	1.612	1.492	1.279	1.191	1.109
1.984	1.429	1.415	1.386	1.271	1.340
0.741	0.824	0.742	0.717	0.692	0.657
0.745	0.899	0.883	0.913	0.859	0.833
1.525	1.608	2.307	1.507	1.279	1.330
1.212	0.954	1.442	0.897	0.844	0.902
0.431	0.825	1.139	0.940	0.786	0.606
1.294	1.486	1.840	1.347	1.172	1.184
0.741	0.895	1.020	0.962	0.901	0.827
1.371	1.069	1.076	1.087	1.067	1.014
1.303	1.083	1.038	1.024	0.979	1.000
1.890	1.410	1.369	1.219	1.177	1.215
0.999	1.182	1.506	0.909	0.833	0.686
1.754	1.122	1.086	1.096	1.054	1.062
1.085	1.170	1.245	1.237	1.144	1.022
1.062	1.245	1.041	0.992	0.873	0.600
1.712	1.259	1.196	1.169	1.123	1.135
1.218	1.067	1.082	1.034	1.005	0.949
1.550	2.904	3.151	2.694	1.575	1.765
1.763	1.576	2.047	1.577	1.408	1.108
