tag	g_val	t_val	c_val	l_val	s_val
1	1.802452	1.450211	1.523253	1.191100	1.360438
1	0.586167	0.675017	0.619953	1.019465	1.127675
-1	1.610504	1.696454	1.459449	1.238696	1.102912
-1	1.009168	1.129728	0.963555	0.914897	0.868006
1	1.117748	1.193878	1.140053	1.413857	1.492026
1	1.933459	1.742138	1.727171	1.695207	1.798872
1	0.181238	-0.049804	0.245223	0.546799	0.661082
1	1.119469	0.934166	1.004622	1.058564	1.194829
1	1.349828	1.396926	1.332842	1.207472	1.320119
1	1.791787	1.851890	1.621551	1.522345	1.596532
1	1.591497	1.561557	1.397433	1.368851	1.611681
1	1.578002	1.531347	1.431912	1.440219	1.549461
1	1.591330	1.484435	1.412947	1.296206	1.374071
1	1.569959	1.706875	1.546250	1.634351	1.781616
-1	1.172630	1.491593	1.017107	0.712168	0.464942
1	1.174549	1.078458	1.133346	1.212039	1.305070
-1	1.318177	1.403761	1.233801	1.027028	0.882111
1	0.678887	0.731101	0.797910	1.111390	1.214571
1	1.459714	1.617005	1.492143	1.698787	1.857646
1	1.790916	1.531399	1.486651	1.302221	1.378570
1	1.065919	1.049591	1.035142	1.258485	1.373442
1	1.278410	1.169508	1.269117	1.452552	1.528228
-1	1.069927	1.215322	0.972317	0.929895	0.869669
1	1.357334	1.280984	1.313152	1.497824	1.631025
1	0.734558	0.620163	0.688368	1.061490	1.305018
-1	1.607324	1.919490	1.451029	1.146957	1.069773
1	1.681013	1.492375	1.506077	1.556549	1.696091
-1	1.687834	2.060433	1.512646	1.252397	1.075852
1	1.369576	1.305642	1.164984	1.386302	1.481216
1	1.525372	1.444032	1.292527	1.496974	1.589619
-1	1.763484	1.960871	1.612958	1.215245	1.033627
1	0.762636	0.672828	0.809627	1.402925	1.699840
1	1.096344	1.078628	1.097971	1.265619	1.302748
1	0.332595	0.386405	0.554650	1.258895	1.501650
-1	1.380958	1.868862	1.330388	1.120051	0.936412
1	1.252533	1.262059	1.103138	1.344752	1.484841
1	1.154698	1.159809	1.150441	1.437957	1.598427
-1	1.120947	1.490139	1.127992	1.022738	0.798904
1	2.033766	2.110641	1.828648	1.835735	1.972062
1	0.882492	0.895439	0.843482	1.182305	1.304551
1	1.074147	0.996883	1.035563	1.398464	1.531514
-1	1.702423	1.860801	1.409235	0.987475	0.773194
1	0.752198	0.597910	0.666324	0.924599	1.111559
1	1.596965	1.526015	1.421295	1.677540	1.961706
1	0.886372	0.901095	0.983792	1.303609	1.438640
-1	0.765179	0.809116	0.668446	-0.984256	-1.446179
-1	1.509524	1.956390	1.409644	1.182453	1.106494
1	1.925296	1.733511	1.727655	1.543680	1.622833
1	1.240045	0.978235	1.117255	0.991994	1.122081
-1	1.876988	1.992156	1.583133	1.283920	1.224669
-1	1.637287	1.865044	1.393718	1.222684	1.113850
-1	1.101847	1.202737	0.941370	0.856098	0.750656
-1	1.430807	1.505211	1.272220	1.001685	0.938552
-1	1.780223	1.899088	1.482363	1.208396	1.139252
1	1.324608	1.302595	1.295213	1.485744	1.667904
1	0.808613	0.713413	0.769989	0.977480	1.048763
1	1.126926	0.857663	1.061155	1.124105	1.303526
-1	1.631268	1.966956	1.377890	1.067883	0.938313
1	1.596226	1.693535	1.545690	1.589810	1.733378
1	1.711260	1.862168	1.591595	1.709794	1.818628
1	0.744246	0.534443	0.712068	1.286122	1.468888
1	1.714592	1.720520	1.590088	1.671765	1.765070
1	1.524616	1.446823	1.463944	1.371113	1.456214
1	1.313188	1.322633	1.245921	1.563734	1.853109
1	1.540017	1.186196	1.195354	1.079145	1.148313
-1	1.302291	1.468342	1.229366	1.027083	0.863007
1	1.434032	1.534698	1.296939	1.405102	1.509821
1	1.441630	1.280702	1.339982	1.376931	1.551323
1	1.233075	1.226395	1.159347	1.493861	1.572317
-1	1.737744	1.994557	1.567882	1.279528	1.113321
1	1.411017	1.148034	1.179816	1.405809	1.491704
1	1.338516	1.388904	1.214751	1.260241	1.404132
1	1.251656	1.293293	1.191679	1.632555	1.769841
-1	1.122680	1.521298	1.097865	1.088838	0.901989
1	1.383568	1.302983	1.273301	1.147876	1.194830
1	1.234756	1.236079	1.264296	1.473984	1.590597
-1	1.211195	1.379747	1.093170	1.090991	1.057355
-1	1.296301	1.612535	1.161011	1.203885	1.141105
1	1.284416	1.263539	1.280716	1.319708	1.447905
-1	1.017111	1.206874	0.846113	0.956252	0.896098
-1	1.342626	1.744827	1.333582	1.384576	1.294447
1	1.069150	0.964518	1.000885	1.024647	1.147173
1	1.399278	1.340523	1.305517	1.359313	1.537397
1	1.259232	1.226951	1.350120	1.562770	1.611640
-1	1.126384	1.273799	0.905110	1.080244	1.054056
1	1.911273	1.940342	1.657182	1.876479	2.033920
-1	1.127230	0.956251	1.130971	1.004181	0.890938
1	0.491614	0.377377	0.486280	1.237397	1.452058
-1	1.318983	1.548907	1.222545	0.977162	0.859244
1	0.680616	0.763999	0.704898	0.905193	0.993396
1	-0.270606	-0.453792	-0.149406	0.249344	0.283047
-1	0.222830	0.252120	0.059380	-1.173022	-1.683748
