g	pw80_20	pw80_08	pw82_08	pw84_08	pw88_08
-1.658	-1.239	-1.589	-1.382	-1.363	-1.435
-1.122	-1.130	-1.140	-0.935	-0.867	-0.808
1.270	1.405	1.236	1.224	1.121	0.989
-0.813	-0.965	-1.075	-0.921	-0.980	-0.899
-1.347	-1.070	-1.316	-0.916	-0.819	-0.907
-1.850	-0.964	-1.077	-1.116	-1.053	-1.181
-1.685	-1.041	-1.336	-0.958	-0.992	-1.119
-1.518	-1.272	-1.344	-1.190	-1.153	-1.224
-0.318	-0.239	-0.369	-0.430	-0.622	-0.300
-1.608	-1.017	-0.953	-0.990	-0.982	-1.040
-1.636	-0.929	-1.046	-0.952	-0.929	-1.088
-1.389	-1.499	-1.367	-1.212	-1.139	-1.151
-1.851	-1.535	-1.594	-1.381	-1.353	-1.338
-1.482	-1.066	-1.192	-0.989	-1.102	-1.168
-1.006	-1.012	-0.982	-0.926	-0.956	-1.103
-1.149	-1.273	-1.222	-1.224	-1.142	-1.135
-1.294	-1.063	-1.163	-0.978	-0.979	-0.891
-1.435	-1.430	-1.496	-1.389	-1.063	-0.779
-1.772	-1.453	-1.380	-1.452	-1.435	-1.067
-1.520	-0.890	-0.862	-0.840	-0.823	-0.923
-1.641	-1.387	-1.113	-1.292	-1.465	-1.224
-1.723	-1.029	-1.163	-1.135	-1.116	-1.079
-1.143	-1.207	-1.573	-1.408	-1.207	-0.894
-1.123	-1.513	-1.408	-1.133	-1.147	-0.661
-0.993	-0.573	-0.557	-0.718	-0.816	-0.839
-1.536	-1.497	-1.336	-1.325	-1.183	-1.014
-1.411	-1.220	-1.318	-1.169	-1.082	-1.231
-0.570	-1.298	-1.643	-1.047	-0.809	0.492
-1.713	-1.294	-0.918	-0.653	-0.681	-0.823
0.837	0.954	0.871	1.299	1.145	1.126
-0.691	-0.483	-0.748	-0.716	-0.767	-0.662
-0.916	-0.816	-0.751	-0.726	-0.792	-0.815
0.363	-0.722	-0.323	-0.334	-0.454	0.629
-0.640	-0.300	-0.152	-0.149	-0.228	-0.441
-1.344	-1.232	-1.429	-1.295	-1.278	-1.011
-1.353	-0.867	-0.853	-0.817	-0.903	-1.054
-1.460	-0.940	-1.421	-1.302	-1.226	-1.183
-1.001	-0.914	-0.968	-0.821	-0.706	-0.570
-1.249	-1.339	-1.315	-1.349	-1.250	-1.225
-1.783	-1.156	-1.181	-1.012	-0.893	-0.903
-1.853	-1.034	-0.985	-0.946	-1.012	-1.108
-2.008	-1.136	-1.388	-1.243	-1.129	-1.214
-2.085	-1.166	-1.076	-1.183	-1.256	-1.382
-1.575	-1.474	-1.017	-0.964	-0.937	-0.959
-1.443	-0.945	-0.653	-0.869	-0.881	-1.104
-1.064	-1.079	-0.929	-0.991	-1.009	-1.101
-1.259	-1.390	-1.510	-1.255	-1.049	-0.889
-0.777	-0.676	-0.902	-0.644	-0.573	-0.640
-1.477	-0.683	-0.455	-0.519	-0.618	-0.823
-1.316	-0.502	-0.732	-0.725	-0.757	-0.756
