epoch	loss
650	5.624969077319546e-02
651	5.624968134866620e-02
652	5.624967204702794e-02
653	5.624966286664112e-02
654	5.624965380588864e-02
655	5.624964486317528e-02
656	5.624963603692767e-02
657	5.624962732559375e-02
658	5.624961872764277e-02
659	5.624961024156461e-02
660	5.624960186586991e-02
661	5.624959359908946e-02
662	5.624958543977405e-02
663	5.624957738649419e-02
664	5.624956943783984e-02
665	5.624956159242005e-02
666	5.624955384886284e-02
667	5.624954620581489e-02
668	5.624953866194123e-02
669	5.624953121592492e-02
670	5.624952386646701e-02
671	5.624951661228614e-02
672	5.624950945211833e-02
673	5.624950238471672e-02
674	5.624949540885136e-02
675	5.624948852330899e-02
676	5.624948172689274e-02
677	5.624947501842198e-02
678	5.624946839673214e-02
679	5.624946186067423e-02
680	5.624945540911500e-02
681	5.624944904093639e-02
682	5.624944275503554e-02
683	5.624943655032452e-02
684	5.624943042573004e-02
685	5.624942438019330e-02
686	5.624941841266988e-02
687	5.624941252212944e-02
688	5.624940670755547e-02
689	5.624940096794529e-02
690	5.624939530230969e-02
691	5.624938970967287e-02
692	5.624938418907208e-02
693	5.624937873955763e-02
694	5.624937336019261e-02
695	5.624936805005273e-02
696	5.624936280822612e-02
697	5.624935763381324e-02
698	5.624935252592665e-02
699	5.624934748369084e-02
700	5.624934250624209e-02
701	5.624933759272823e-02
702	5.624933274230869e-02
703	5.624932795415406e-02
704	5.624932322744617e-02
705	5.624931856137778e-02
706	5.624931395515258e-02
707	5.624930940798480e-02
708	5.624930491909933e-02
709	5.624930048773150e-02
710	5.624929611312678e-02
711	5.624929179454081e-02
712	5.624928753123928e-02
713	5.624928332249764e-02
714	5.624927916760100e-02
715	5.624927506584422e-02
716	5.624927101653143e-02
717	5.624926701897620e-02
718	5.624926307250116e-02
719	5.624925917643817e-02
720	5.624925533012787e-02
721	5.624925153291983e-02
722	5.624924778417220e-02
723	5.624924408325192e-02
724	5.624924042953407e-02
725	5.624923682240240e-02
726	5.624923326124864e-02
727	5.624922974547283e-02
728	5.624922627448291e-02
729	5.624922284769471e-02
730	5.624921946453190e-02
731	5.624921612442584e-02
732	5.624921282681548e-02
733	5.624920957114712e-02
734	5.624920635687463e-02
735	5.624920318345897e-02
736	5.624920005036849e-02
737	5.624919695707835e-02
738	5.624919390307097e-02
739	5.624919088783545e-02
740	5.624918791086779e-02
741	5.624918497167061e-02
742	5.624918206975331e-02
743	5.624917920463154e-02
744	5.624917637582764e-02
745	5.624917358287018e-02
746	5.624917082529393e-02
747	5.624916810264003e-02
748	5.624916541445548e-02
749	5.624916276029342e-02
750	5.624916013971290e-02
751	5.624915755227881e-02
752	5.624915499756181e-02
753	5.624915247513820e-02
754	5.624914998458998e-02
755	5.624914752550461e-02
756	5.624914509747506e-02
757	5.624914270009969e-02
758	5.624914033298209e-02
759	5.624913799573124e-02
760	5.624913568796110e-02
761	5.624913340929098e-02
762	5.624913115934499e-02
763	5.624912893775230e-02
764	5.624912674414701e-02
765	5.624912457816796e-02
766	5.624912243945884e-02
767	5.624912032766809e-02
768	5.624911824244865e-02
769	5.624911618345809e-02
770	5.624911415035855e-02
771	5.624911214281657e-02
772	5.624911016050307e-02
773	5.624910820309335e-02
774	5.624910627026694e-02
775	5.624910436170769e-02
776	5.624910247710348e-02
777	5.624910061614637e-02
778	5.624909877853244e-02
779	5.624909696396181e-02
780	5.624909517213850e-02
781	5.624909340277044e-02
782	5.624909165556937e-02
783	5.624908993025089e-02
784	5.624908822653425e-02
785	5.624908654414244e-02
786	5.624908488280204e-02
787	5.624908324224324e-02
788	5.624908162219978e-02
789	5.624908002240887e-02
790	5.624907844261123e-02
791	5.624907688255092e-02
792	5.624907534197529e-02
793	5.624907382063511e-02
794	5.624907231828438e-02
795	5.624907083468031e-02
796	5.624906936958322e-02
797	5.624906792275673e-02
798	5.624906649396742e-02
799	5.624906508298497e-02
800	5.624906368958200e-02
801	5.624906231353424e-02
802	5.624906095462021e-02
803	5.624905961262139e-02
804	5.624905828732208e-02
805	5.624905697850949e-02
